Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/auth/discover/,129,0,320.0,422.328383833271,48.83180186152458,1433.320060139522,482.04651162790697,0.21511460416251557,0.0,320,510,640,760,970,1200,1300,1300,1400,1400,1400
POST,/api/v1/auth/login/,50,0,500.0,583.891187668778,329.45027318783104,1639.459309866652,1542.84,0.08337775355136262,0.0,500,540,570,760,1300,1400,1600,1600,1600,1600,1600
GET,/api/v1/auth/me/,134,0,380.0,463.6368136870355,46.617863001301885,1445.6275319680572,882.3358208955224,0.22345237951765182,0.0,390,610,700,760,1000,1100,1200,1400,1400,1400,1400
GET,/api/v1/auth/my-recap/,66,0,340.0,486.7219639779774,71.78599596954882,1537.6580071169883,620.3181818181819,0.11005863468779867,0.0,380,530,670,770,1200,1500,1500,1500,1500,1500,1500
GET,/api/v1/auth/staff/,349,0,350.0,457.7432203735025,47.027599066495895,2005.961393006146,8941.0,0.5819767197885111,0.0,350,520,660,770,1100,1300,1400,1500,2000,2000,2000
GET,/api/v1/auth/staff/[uuid]/,119,0,250.0,392.13408973897583,43.67039096541703,1749.4483629707247,472.06722689075633,0.19843905345224305,0.0,250,340,540,700,1000,1300,1500,1600,1700,1700,1700
GET,/api/v1/auth/staff/admin/permissions/,24,0,410.0,555.9691716722833,88.15041114576161,1839.0226759947836,3234.875,0.040021321704654056,0.0,460,630,880,880,1100,1200,1800,1800,1800,1800,1800
POST,/api/v1/auth/token/refresh/,77,46,270.0,436.0153633714109,47.58497700095177,1631.798496004194,268.961038961039,0.12840174046909844,0.07670753326725362,270,500,650,800,1100,1200,1500,1600,1600,1600,1600
GET,/api/v1/chat/conversations/,194,0,280.0,431.30540367475106,51.0748119559139,2370.9093851502985,644.0824742268042,0.32350568377928696,0.0,280,490,620,760,1000,1300,1500,1800,2400,2400,2400
GET,/api/v1/chat/requests/,131,0,220.0,343.9925764900639,26.797681115567684,1464.4328688737005,10841.0,0.21844971430457008,0.0,220,410,550,640,850,990,1300,1300,1500,1500,1500
GET,/api/v1/chat/staff-group/ [GET],122,0,370.0,487.1874237700259,71.49191410280764,2566.8941650073975,30754.926229508197,0.2034417186653248,0.0,370,530,650,820,1200,1300,1500,1600,2600,2600,2600
POST,/api/v1/chat/staff-group/ [POST],101,0,310.0,408.184368151821,48.5731849912554,1323.649762198329,262.05940594059405,0.1684230621737525,0.0,310,480,660,770,990,1000,1200,1200,1300,1300,1300
GET,/api/v1/checkins/checked-in/,73,0,390.0,476.7794796960964,50.86266901344061,1503.9079149719328,673.0,0.12173152018498942,0.0,390,550,710,840,1000,1400,1500,1500,1500,1500,1500
GET,/api/v1/checkins/list/,57,0,220.0,413.2615315948466,57.96054285019636,1498.6702010501176,2826.0,0.09505063904855339,0.0,220,410,650,720,1100,1500,1500,1500,1500,1500,1500
GET,/api/v1/checkins/meal-stats/,58,0,250.0,457.3764332112503,23.838674882426858,1495.4713659826666,7359.0,0.09671819411958064,0.0,270,650,900,930,1200,1200,1400,1500,1500,1500,1500
GET,/api/v1/checkins/network/,57,0,340.0,400.04106885508486,51.91833805292845,1613.4734340012074,2440.0,0.09505063904855339,0.0,340,460,520,570,780,1300,1500,1600,1600,1600,1600
GET,/api/v1/leaderboard/,504,0,250.0,372.63470299362706,23.155138129368424,1697.004766901955,5187.0,0.8404477557977352,0.0,250,430,540,640,920,1200,1400,1400,1700,1700,1700
