Method,Name,Error,Occurrences
POST,/api/v1/chat/staff-group/ [POST],CatchResponseError('Staff chat send 500'),37
GET,/api/v1/checkins/list/,CatchResponseError('Checkin 500'),21
POST,/api/v1/auth/token/refresh/,CatchResponseError('Refresh 500'),18
GET,/api/v1/auth/my-recap/,CatchResponseError('Recap 500'),11
GET,/api/v1/auth/discover/,CatchResponseError('Discover 500'),32
GET,/api/v1/auth/staff/[uuid]/,CatchResponseError('Staff detail 500'),22
GET,/api/v1/checkins/network/,CatchResponseError('Network 500'),12
GET,/api/v1/speakers/[id]/,HTTPError('500 Server Error: Internal Server Error for url: /api/v1/speakers/[id]/'),9
GET,/api/v1/photos/selfie-points/,CatchResponseError('Checkpoints 500'),6
GET,/api/v1/chat/staff-group/ [GET],CatchResponseError('Staff chat read 500'),42
GET,/api/v1/speakers/ [for detail],CatchResponseError('Speaker detail 500'),19
GET,/api/v1/schedule/sessions/[id]/,CatchResponseError('Session detail 500'),9
POST,/api/v1/schedule/sessions/[id]/bookmark/,CatchResponseError('Bookmark 500'),10
GET,/api/v1/sponsors/,CatchResponseError('Sponsors 500'),134
GET,/api/v1/chat/conversations/,CatchResponseError('Conversations 500'),53
POST,/api/v1/auth/token/refresh/,CatchResponseError('Refresh 401'),9
GET,/api/v1/speakers/,CatchResponseError('Speakers 500'),131
GET,/api/v1/auth/me/,CatchResponseError('Profile 500'),38
GET,/api/v1/auth/staff/admin/permissions/,CatchResponseError('Perms 500'),8
GET,/api/v1/polls/,CatchResponseError('Polls 500'),19
GET,/api/v1/checkins/checked-in/,CatchResponseError('Checked-in 500'),32
GET,/api/v1/auth/staff/,CatchResponseError('Staff dir 500'),76
GET,/api/v1/schedule/sessions/,CatchResponseError('Schedule 500'),342
