Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/auth/discover/,441,0,56,62.721684669057865,20.460549974814057,383.68430198170245,606.1133786848072,0.7361227872798982,0.0,56,61,66,70,84,110,150,230,380,380,380
POST,/api/v1/auth/login/,150,0,490.0,506.1271491336326,331.04975707829,923.6727061215788,1486.0533333333333,0.25038190043533953,0.0,490,530,560,610,670,850,880,920,920,920,920
GET,/api/v1/auth/me/,496,0,58,67.59370321167573,24.278033059090376,405.70144704543054,898.1854838709677,0.8279294841061894,0.0,58,64,70,76,97,130,190,230,410,410,410
GET,/api/v1/auth/my-recap/,195,0,79,90.79856125590129,31.832371139898896,609.4836739357561,566.1128205128205,0.3254964705659414,0.0,79,86,92,97,120,190,280,370,610,610,610
GET,/api/v1/auth/staff/,1109,0,64,71.12387109592362,29.70557496882975,448.1623009778559,8941.0,1.8511568505519438,0.0,64,70,74,79,94,120,180,250,400,450,450
GET,/api/v1/auth/staff/[uuid]/,445,0,55,62.39587856519423,20.854345988482237,260.76901284977794,471.64044943820227,0.7427996379581739,0.0,55,61,65,69,84,140,190,240,260,260,260
GET,/api/v1/auth/staff/admin/permissions/,91,0,62,71.50954726039545,28.926912928000093,230.67018599249423,1785.021978021978,0.15189835293077267,0.0,62,72,85,90,100,120,200,230,230,230,230
POST,/api/v1/auth/token/refresh/,338,0,50,58.921684597800734,22.673232946544886,251.89946708269417,290.0,0.5641938823142985,0.0,51,56,61,66,83,120,160,230,250,250,250
GET,/api/v1/chat/conversations/,659,0,63,74.88537732157036,23.859835928305984,551.4066668692976,579.7678300455235,1.100011149245925,0.0,63,73,82,94,120,150,180,270,550,550,550
GET,/api/v1/chat/requests/,462,0,59,68.2451685949015,23.213546024635434,266.9083259534091,230.12987012987014,0.7711762533408458,0.0,59,66,72,76,100,140,200,230,270,270,270
GET,/api/v1/chat/staff-group/ [GET],427,0,80,87.93621506722997,29.04859301634133,396.3660148438066,30755.573770491803,0.7127538099059333,0.0,80,87,95,100,120,160,210,260,400,400,400
POST,/api/v1/chat/staff-group/ [POST],413,0,56,62.783478074831116,22.17487315647304,275.21794103085995,263.73849878934624,0.6893848325319683,0.0,56,62,67,71,85,110,160,200,280,280,280
GET,/api/v1/checkins/checked-in/,168,0,56,60.08014017771486,27.320244116708636,182.8967679757625,928.0,0.2804277284875803,0.0,56,60,63,65,78,99,170,170,180,180,180
GET,/api/v1/checkins/list/,214,0,63,74.33861952218462,27.739252196624875,447.71743519231677,3957.0,0.3572115112877511,0.0,63,71,77,80,97,160,220,250,450,450,450
GET,/api/v1/checkins/meal-stats/,203,0,31,40.84172985158641,15.664862934499979,368.1567639578134,7359.0,0.33885017192249284,0.0,31,36,41,44,60,81,140,290,370,370,370
GET,/api/v1/checkins/network/,227,0,59,68.36913548110438,30.725460033863783,362.89834789931774,3399.0,0.3789112759921472,0.0,59,67,71,76,95,140,200,210,360,360,360
GET,/api/v1/leaderboard/,1943,0,71,78.3976718769718,29.54081608913839,501.08075700700283,1905.3293875450333,3.2432802169724315,0.0,71,77,82,86,110,140,210,270,430,500,500
GET,/api/v1/notifications/,3642,0,88,102.05715063502649,24.240144062787294,762.9325338639319,6766.333882482153,6.0792725425700445,0.0,88,100,110,120,160,220,310,410,600,760,760
GET,/api/v1/photos/,2037,0,62,71.52722899529536,23.268928052857518,510.7629399280995,783.0,3.400186207911911,0.0,62,69,73,78,100,140,200,240,420,510,510
GET,/api/v1/photos/selfie-points/,207,0,72,80.39458185672795,33.650811994448304,346.9968871213496,3598.0,0.34552702260076856,0.0,72,79,85,93,110,160,200,240,350,350,350
GET,/api/v1/polls/,148,0,130.0,155.70334129576648,76.57277607358992,604.5006539206952,5471.945945945946,0.2470434750962017,0.0,130,140,170,180,240,320,430,500,600,600,600
GET,/api/v1/schedule/sessions/,5770,0,190.0,229.14727582189494,85.21585306152701,1111.5917859133333,13017.475563258233,9.631357103412729,0.0,190,220,250,280,370,470,630,730,980,1100,1100
GET,/api/v1/schedule/sessions/[id]/,204,0,70,79.03465151777674,29.485381906852126,289.42590905353427,580.6764705882352,0.34051938459206177,0.0,70,78,84,87,110,150,210,240,290,290,290
POST,/api/v1/schedule/sessions/[id]/bookmark/,245,0,61,74.14794470069512,32.98682393506169,446.86342985369265,42.02448979591837,0.4089571040443879,0.0,61,68,75,83,110,150,260,310,450,450,450
GET,/api/v1/speakers/,2058,0,99,115.6141950119381,40.601429995149374,628.5553558263928,6462.0,3.4352396739728586,0.0,99,110,120,130,170,230,300,360,530,630,630
GET,/api/v1/speakers/ [for detail],416,0,100.0,120.78930183857804,47.64666990377009,611.2202890217304,6462.0,0.694392470540675,0.0,100,110,130,140,180,260,380,470,610,610,610
GET,/api/v1/speakers/[id]/,416,0,52,59.253758614851485,22.34017592854798,403.953923843801,670.0985576923077,0.694392470540675,0.0,52,60,64,71,83,110,160,180,400,400,400
GET,/api/v1/sponsors/,2199,0,60,67.89307232483249,25.322944158688188,606.7838429007679,4593.0,3.670598660382078,0.0,60,66,71,77,92,120,170,230,430,610,610
,Aggregated,25323,0,82,118.86625125313276,15.664862934499979,1111.5917859133333,6378.7895194092325,42.26947243149402,0.0,82,110,150,170,220,300,440,530,880,1000,1100
